AGE,TOTAL_PATIENTS,READMISSIONS,READMISSION_RATE
18,51,13,25.49
19,43,10,23.26
20,44,16,36.36
21,42,10,23.81
22,34,9,26.47
23,36,10,27.78
24,29,10,34.48
25,42,11,26.19
26,45,9,20.00
27,47,13,27.66
28,36,8,22.22
29,44,12,27.27
30,44,14,31.82
31,42,15,35.71
32,46,10,21.74
33,44,9,20.45
34,52,17,32.69
35,36,8,22.22
36,51,12,23.53
37,37,13,35.14
38,41,11,26.83
39,36,9,25.00
40,49,14,28.57
41,49,12,24.49
42,42,9,21.43
43,42,13,30.95
44,37,14,37.84
45,39,8,20.51
46,38,9,23.68
47,40,13,32.50
48,42,9,21.43
49,41,13,31.71
50,69,21,30.43
51,32,8,25.00
52,36,9,25.00
53,45,20,44.44
54,43,13,30.23
55,44,12,27.27
56,43,14,32.56
57,32,9,28.13
58,31,8,25.81
59,37,16,43.24
60,42,10,23.81
61,38,16,42.11
62,26,7,26.92
63,36,8,22.22
64,49,17,34.69
65,41,7,17.07
66,41,14,34.15
67,41,11,26.83
68,42,7,16.67
69,41,14,34.15
70,38,12,31.58
71,47,15,31.91
72,37,12,32.43
73,41,9,21.95
74,42,13,30.95
75,47,18,38.30
76,41,14,34.15
77,46,15,32.61
78,49,18,36.73
79,51,18,35.29
80,41,12,29.27
81,39,8,20.51
82,43,10,23.26
83,41,16,39.02
84,37,14,37.84
85,38,13,34.21
86,44,10,22.73
87,44,13,29.55
88,40,9,22.50
89,44,13,29.55
